"ssn1","name1","surname1","ssn2","name2","surname2","total_days","year"
"00000000693","Σοφία","Παπαδάκης","00000000747","Αναστασία","Παπαδόπουλος","72","2023"
"00000000629","Χριστίνα","Τσακίρης","00000000648","Στέφανος","Παπαγεωργίου","72","2023"
"00000000651","Ζωή","Ιωάννου","00000000747","Αναστασία","Παπαδόπουλος","72","2023"
"00000000616","Τάσος","Κοντός","00000000694","Τάσος","Ιωάννου","68","2023"
"00000000706","Ζωή","Ιωάννου","00000000788","Μαρία","Κωνσταντίνου","66","2022"
"00000000638","Ειρήνη","Παπαδόπουλος","00000000673","Λευτέρης","Παπαγεωργίου","66","2023"
"00000000667","Αλέξανδρος","Γεωργίου","00000000748","Πέτρος","Γεωργίου","64","2024"
"00000000629","Χριστίνα","Τσακίρης","00000000641","Θανάσης","Κωνσταντίνου","63","2022"
"00000000656","Ελένη","Καραγιάννης","00000000710","Ελένη","Αθανασίου","60","2022"
"00000000710","Ελένη","Αθανασίου","00000000763","Μιχάλης","Δημητρίου","60","2022"
"00000000656","Ελένη","Καραγιάννης","00000000763","Μιχάλης","Δημητρίου","60","2022"
"00000000759","Ηλίας","Νικολάου","00000000771","Νίκος","Βλάχος","57","2023"
"00000000680","Γιώργης","Παπαδάκης","00000000771","Νίκος","Βλάχος","57","2023"
"00000000639","Μιχάλης","Νικολάου","00000000680","Γιώργης","Παπαδάκης","57","2023"
"00000000639","Μιχάλης","Νικολάου","00000000759","Ηλίας","Νικολάου","57","2023"
"00000000636","Ελένη","Γεωργίου","00000000639","Μιχάλης","Νικολάου","57","2023"
"00000000639","Μιχάλης","Νικολάου","00000000667","Αλέξανδρος","Γεωργίου","57","2023"
"00000000636","Ελένη","Γεωργίου","00000000771","Νίκος","Βλάχος","57","2023"
"00000000667","Αλέξανδρος","Γεωργίου","00000000771","Νίκος","Βλάχος","57","2023"
"00000000614","Αναστασία","Καλογερόπουλος","00000000639","Μιχάλης","Νικολάου","57","2023"
"00000000614","Αναστασία","Καλογερόπουλος","00000000771","Νίκος","Βλάχος","57","2023"
"00000000627","Ευαγγελία","Βλάχος","00000000775","Μιχάλης","Σπηλιώτης","56","2023"
"00000000714","Νικολέτα","Παπαντωνίου","00000000751","Χρήστος","Παπαντωνίου","56","2023"
"00000000606","Αναστασία","Σταύρου","00000000709","Μιχάλης","Καλογερόπουλος","56","2022"
"00000000708","Παναγιώτα","Καλογερόπουλος","00000000725","Ειρήνη","Ιωάννου","54","2023"
"00000000611","Αγγελική","Καλογερόπουλος","00000000653","Τάσος","Παπαγεωργίου","52","2023"
"00000000673","Λευτέρης","Παπαγεωργίου","00000000698","Αγγελική","Βλάχος","52","2022"
"00000000653","Τάσος","Παπαγεωργίου","00000000675","Σωτήρης","Δημητρίου","52","2023"
"00000000698","Αγγελική","Βλάχος","00000000727","Δήμητρα","Παπαδάκης","52","2022"
"00000000673","Λευτέρης","Παπαγεωργίου","00000000727","Δήμητρα","Παπαδάκης","52","2022"
"00000000701","Σταυρούλα","Λαζαρίδης","00000000793","Δήμητρα","Ιωάννου","51","2022"
"00000000603","Ελένη","Παπαδάκης","00000000793","Δήμητρα","Ιωάννου","51","2022"
"00000000704","Αναστασία","Χριστοδούλου","00000000787","Τάσος","Σταύρου","50","2023"
"00000000796","Αλέξανδρος","Αθανασίου","00000000797","Κίμωνας","Λαζαρίδης","50","2022"
"00000000786","Παναγιώτα","Γεωργίου","00000000798","Νικολέτα","Καραγιάννης","48","2022"
"00000000760","Γεωργία","Σταματίου","00000000798","Νικολέτα","Καραγιάννης","48","2022"
"00000000680","Γιώργης","Παπαδάκης","00000000682","Πέτρος","Λαζαρίδης","48","2024"
"00000000643","Αναστασία","Σταύρου","00000000648","Στέφανος","Παπαγεωργίου","48","2023"
"00000000680","Γιώργης","Παπαδάκης","00000000765","Κώστας","Χριστοδούλου","48","2024"
"00000000618","Σταυρούλα","Σταματίου","00000000711","Σοφία","Κοντός","46","2022"
"00000000711","Σοφία","Κοντός","00000000742","Αλέξανδρος","Παπαδάκης","46","2022"
"00000000618","Σταυρούλα","Σταματίου","00000000636","Ελένη","Γεωργίου","46","2022"
"00000000636","Ελένη","Γεωργίου","00000000742","Αλέξανδρος","Παπαδάκης","46","2022"
"00000000671","Μιχάλης","Παπαντωνίου","00000000676","Αλέξανδρος","Ιωάννου","45","2022"
"00000000621","Νικολέτα","Σταματίου","00000000692","Μαρία","Αλεξίου","44","2024"
"00000000665","Κίμωνας","Λαζαρίδης","00000000683","Νικολέτα","Σπηλιώτης","44","2022"
"00000000692","Μαρία","Αλεξίου","00000000754","Αθηνά","Αντωνίου","44","2024"
"00000000702","Σοφία","Παπαντωνίου","00000000754","Αθηνά","Αντωνίου","44","2024"
"00000000621","Νικολέτα","Σταματίου","00000000702","Σοφία","Παπαντωνίου","44","2024"
"00000000675","Σωτήρης","Δημητρίου","00000000688","Αλέξανδρος","Κωνσταντίνου","44","2022"
"00000000689","Αλέξανδρος","Ιωάννου","00000000692","Μαρία","Αλεξίου","44","2024"
"00000000689","Αλέξανδρος","Ιωάννου","00000000702","Σοφία","Παπαντωνίου","44","2024"
"00000000702","Σοφία","Παπαντωνίου","00000000783","Παναγιώτα","Δημητρίου","44","2024"
"00000000665","Κίμωνας","Λαζαρίδης","00000000675","Σωτήρης","Δημητρίου","44","2022"
"00000000692","Μαρία","Αλεξίου","00000000783","Παναγιώτα","Δημητρίου","44","2024"
"00000000680","Γιώργης","Παπαδάκης","00000000688","Αλέξανδρος","Κωνσταντίνου","44","2022"
"00000000683","Νικολέτα","Σπηλιώτης","00000000688","Αλέξανδρος","Κωνσταντίνου","44","2022"
"00000000665","Κίμωνας","Λαζαρίδης","00000000680","Γιώργης","Παπαδάκης","44","2022"
"00000000604","Νικολέτα","Παπαδάκης","00000000682","Πέτρος","Λαζαρίδης","42","2022"
"00000000604","Νικολέτα","Παπαδάκης","00000000765","Κώστας","Χριστοδούλου","42","2022"
"00000000604","Νικολέτα","Παπαδάκης","00000000700","Θανάσης","Κοντός","42","2022"
"00000000641","Θανάσης","Κωνσταντίνου","00000000658","Σοφία","Σταματίου","42","2022"
"00000000683","Νικολέτα","Σπηλιώτης","00000000790","Θεοδώρα","Καλογερόπουλος","42","2023"
"00000000604","Νικολέτα","Παπαδάκης","00000000674","Κίμωνας","Παπαντωνίου","42","2022"
"00000000674","Κίμωνας","Παπαντωνίου","00000000790","Θεοδώρα","Καλογερόπουλος","42","2023"
"00000000601","Παναγιώτα","Νικολάου","00000000657","Αλέξανδρος","Μακρής","40","2022"
"00000000609","Φωτεινή","Σταύρου","00000000679","Στέφανος","Σταύρου","40","2023"
"00000000714","Νικολέτα","Παπαντωνίου","00000000734","Χριστίνα","Αθανασίου","40","2024"
"00000000644","Λευτέρης","Σταματίου","00000000646","Πέτρος","Παπαδάκης","40","2023"
"00000000652","Δήμητρα","Κωνσταντίνου","00000000791","Θεοδώρα","Χριστοδούλου","40","2023"
"00000000657","Αλέξανδρος","Μακρής","00000000736","Πέτρος","Βασιλείου","40","2022"
"00000000657","Αλέξανδρος","Μακρής","00000000759","Ηλίας","Νικολάου","40","2022"
"00000000679","Στέφανος","Σταύρου","00000000756","Χρήστος","Αλεξίου","40","2023"
"00000000609","Φωτεινή","Σταύρου","00000000756","Χρήστος","Αλεξίου","40","2023"
"00000000644","Λευτέρης","Σταματίου","00000000652","Δήμητρα","Κωνσταντίνου","40","2023"
"00000000646","Πέτρος","Παπαδάκης","00000000791","Θεοδώρα","Χριστοδούλου","40","2023"
"00000000616","Τάσος","Κοντός","00000000789","Τάσος","Γεωργίου","38","2022"
"00000000628","Κώστας","Αντωνίου","00000000789","Τάσος","Γεωργίου","38","2022"
"00000000616","Τάσος","Κοντός","00000000619","Αλέξανδρος","Τσακίρης","38","2022"
"00000000616","Τάσος","Κοντός","00000000776","Αλέξανδρος","Μαυρίδης","38","2022"
"00000000616","Τάσος","Κοντός","00000000620","Σωτήρης","Αλεξίου","38","2022"
"00000000616","Τάσος","Κοντός","00000000651","Ζωή","Ιωάννου","38","2022"
"00000000628","Κώστας","Αντωνίου","00000000651","Ζωή","Ιωάννου","38","2022"
"00000000620","Σωτήρης","Αλεξίου","00000000628","Κώστας","Αντωνίου","38","2022"
"00000000628","Κώστας","Αντωνίου","00000000776","Αλέξανδρος","Μαυρίδης","38","2022"
"00000000619","Αλέξανδρος","Τσακίρης","00000000628","Κώστας","Αντωνίου","38","2022"
"00000000603","Ελένη","Παπαδάκης","00000000629","Χριστίνα","Τσακίρης","36","2023"
"00000000626","Ελένη","Μακρής","00000000716","Παναγιώτα","Ιωάννου","36","2022"
"00000000663","Νικολέτα","Παπαγεωργίου","00000000716","Παναγιώτα","Ιωάννου","36","2022"
"00000000611","Αγγελική","Καλογερόπουλος","00000000716","Παναγιώτα","Ιωάννου","36","2022"
"00000000629","Χριστίνα","Τσακίρης","00000000666","Τάσος","Σταύρου","36","2023"
"00000000716","Παναγιώτα","Ιωάννου","00000000784","Σπύρος","Ιωάννου","36","2022"
"00000000610","Τάσος","Κοντός","00000000629","Χριστίνα","Τσακίρης","36","2023"
"00000000737","Ευαγγελία","Τσακίρης","00000000789","Τάσος","Γεωργίου","36","2023"
"00000000782","Στέφανος","Παπαγεωργίου","00000000789","Τάσος","Γεωργίου","36","2023"
"00000000610","Τάσος","Κοντός","00000000726","Ειρήνη","Τσακίρης","36","2023"
"00000000657","Αλέξανδρος","Μακρής","00000000797","Κίμωνας","Λαζαρίδης","36","2023"
"00000000657","Αλέξανδρος","Μακρής","00000000737","Ευαγγελία","Τσακίρης","36","2023"
"00000000789","Τάσος","Γεωργίου","00000000797","Κίμωνας","Λαζαρίδης","36","2023"
"00000000657","Αλέξανδρος","Μακρής","00000000782","Στέφανος","Παπαγεωργίου","36","2023"
"00000000629","Χριστίνα","Τσακίρης","00000000695","Ελένη","Χριστοδούλου","36","2023"
"00000000695","Ελένη","Χριστοδούλου","00000000726","Ειρήνη","Τσακίρης","36","2023"
"00000000666","Τάσος","Σταύρου","00000000726","Ειρήνη","Τσακίρης","36","2023"
"00000000603","Ελένη","Παπαδάκης","00000000726","Ειρήνη","Τσακίρης","36","2023"
"00000000616","Τάσος","Κοντός","00000000621","Νικολέτα","Σταματίου","34","2023"
"00000000694","Τάσος","Ιωάννου","00000000705","Γιώργης","Σπηλιώτης","34","2023"
"00000000616","Τάσος","Κοντός","00000000786","Παναγιώτα","Γεωργίου","34","2023"
"00000000616","Τάσος","Κοντός","00000000705","Γιώργης","Σπηλιώτης","34","2023"
"00000000694","Τάσος","Ιωάννου","00000000786","Παναγιώτα","Γεωργίου","34","2023"
"00000000621","Νικολέτα","Σταματίου","00000000694","Τάσος","Ιωάννου","34","2023"
"00000000652","Δήμητρα","Κωνσταντίνου","00000000788","Μαρία","Κωνσταντίνου","33","2022"
"00000000666","Τάσος","Σταύρου","00000000788","Μαρία","Κωνσταντίνου","33","2022"
"00000000771","Νίκος","Βλάχος","00000000788","Μαρία","Κωνσταντίνου","33","2022"
"00000000647","Λευτέρης","Μακρής","00000000788","Μαρία","Κωνσταντίνου","33","2022"
"00000000667","Αλέξανδρος","Γεωργίου","00000000765","Κώστας","Χριστοδούλου","32","2024"
"00000000722","Δήμητρα","Αλεξίου","00000000786","Παναγιώτα","Γεωργίου","32","2022"
"00000000669","Σπύρος","Βασιλείου","00000000700","Θανάσης","Κοντός","32","2023"
"00000000748","Πέτρος","Γεωργίου","00000000765","Κώστας","Χριστοδούλου","32","2024"
"00000000665","Κίμωνας","Λαζαρίδης","00000000669","Σπύρος","Βασιλείου","32","2023"
"00000000669","Σπύρος","Βασιλείου","00000000773","Αλέξανδρος","Νικολάου","32","2023"
"00000000682","Πέτρος","Λαζαρίδης","00000000748","Πέτρος","Γεωργίου","32","2024"
"00000000667","Αλέξανδρος","Γεωργίου","00000000682","Πέτρος","Λαζαρίδης","32","2024"
"00000000722","Δήμητρα","Αλεξίου","00000000760","Γεωργία","Σταματίου","32","2022"
"00000000631","Τάσος","Τσακίρης","00000000635","Θανάσης","Σταύρου","30","2023"
"00000000726","Ειρήνη","Τσακίρης","00000000759","Ηλίας","Νικολάου","30","2022"
"00000000623","Γιώργης","Παπαντωνίου","00000000635","Θανάσης","Σταύρου","30","2023"
"00000000704","Αναστασία","Χριστοδούλου","00000000762","Σωτήρης","Σταύρου","30","2024"
"00000000730","Θεοδώρα","Νικολάου","00000000731","Σοφία","Σταματίου","30","2022"
"00000000613","Σπύρος","Κοντός","00000000731","Σοφία","Σταματίου","30","2022"
"00000000625","Αλέξανδρος","Κοντός","00000000696","Ευαγγελία","Βασιλείου","30","2024"
"00000000615","Αγγελική","Σταματίου","00000000625","Αλέξανδρος","Κοντός","30","2024"
"00000000659","Θεοδώρα","Σπηλιώτης","00000000766","Παναγιώτα","Μαυρίδης","30","2022"
"00000000696","Ευαγγελία","Βασιλείου","00000000708","Παναγιώτα","Καλογερόπουλος","30","2024"
"00000000625","Αλέξανδρος","Κοντός","00000000708","Παναγιώτα","Καλογερόπουλος","30","2024"
"00000000615","Αγγελική","Σταματίου","00000000708","Παναγιώτα","Καλογερόπουλος","30","2024"
"00000000615","Αγγελική","Σταματίου","00000000696","Ευαγγελία","Βασιλείου","30","2024"
"00000000762","Σωτήρης","Σταύρου","00000000769","Αναστασία","Καλογερόπουλος","30","2024"
"00000000656","Ελένη","Καραγιάννης","00000000676","Αλέξανδρος","Ιωάννου","30","2022"
"00000000726","Ειρήνη","Τσακίρης","00000000736","Πέτρος","Βασιλείου","30","2022"
"00000000676","Αλέξανδρος","Ιωάννου","00000000710","Ελένη","Αθανασίου","30","2022"
"00000000613","Σπύρος","Κοντός","00000000730","Θεοδώρα","Νικολάου","30","2022"
"00000000635","Θανάσης","Σταύρου","00000000748","Πέτρος","Γεωργίου","30","2023"
"00000000631","Τάσος","Τσακίρης","00000000748","Πέτρος","Γεωργίου","30","2023"
"00000000601","Παναγιώτα","Νικολάου","00000000726","Ειρήνη","Τσακίρης","30","2022"
"00000000623","Γιώργης","Παπαντωνίου","00000000748","Πέτρος","Γεωργίου","30","2023"
"00000000676","Αλέξανδρος","Ιωάννου","00000000763","Μιχάλης","Δημητρίου","30","2022"
"00000000615","Αγγελική","Σταματίου","00000000720","Γιάννης","Κοντός","30","2024"
"00000000623","Γιώργης","Παπαντωνίου","00000000631","Τάσος","Τσακίρης","30","2023"
"00000000625","Αλέξανδρος","Κοντός","00000000720","Γιάννης","Κοντός","30","2024"
"00000000708","Παναγιώτα","Καλογερόπουλος","00000000720","Γιάννης","Κοντός","30","2024"
"00000000696","Ευαγγελία","Βασιλείου","00000000720","Γιάννης","Κοντός","30","2024"
"00000000613","Σπύρος","Κοντός","00000000646","Πέτρος","Παπαδάκης","29","2024"
"00000000687","Κατερίνα","Μακρής","00000000763","Μιχάλης","Δημητρίου","28","2023"
"00000000627","Ευαγγελία","Βλάχος","00000000703","Θεοδώρα","Βλάχος","28","2023"
"00000000617","Δημήτρης","Καραγιάννης","00000000721","Αθηνά","Αλεξίου","28","2024"
"00000000627","Ευαγγελία","Βλάχος","00000000785","Αγγελική","Νικολάου","28","2023"
"00000000602","Χριστίνα","Κωνσταντίνου","00000000627","Ευαγγελία","Βλάχος","28","2023"
"00000000602","Χριστίνα","Κωνσταντίνου","00000000775","Μιχάλης","Σπηλιώτης","28","2023"
"00000000627","Ευαγγελία","Βλάχος","00000000649","Χρήστος","Βλάχος","28","2023"
"00000000649","Χρήστος","Βλάχος","00000000775","Μιχάλης","Σπηλιώτης","28","2023"
"00000000702","Σοφία","Παπαντωνίου","00000000775","Μιχάλης","Σπηλιώτης","28","2023"
"00000000703","Θεοδώρα","Βλάχος","00000000775","Μιχάλης","Σπηλιώτης","28","2023"
"00000000627","Ευαγγελία","Βλάχος","00000000702","Σοφία","Παπαντωνίου","28","2023"
"00000000775","Μιχάλης","Σπηλιώτης","00000000785","Αγγελική","Νικολάου","28","2023"
"00000000661","Κατερίνα","Αθανασίου","00000000779","Κώστας","Σπηλιώτης","27","2023"
"00000000673","Λευτέρης","Παπαγεωργίου","00000000723","Ηλίας","Βασιλείου","26","2022"
"00000000645","Κατερίνα","Καραγιάννης","00000000766","Παναγιώτα","Μαυρίδης","26","2024"
"00000000698","Αγγελική","Βλάχος","00000000723","Ηλίας","Βασιλείου","26","2022"
"00000000611","Αγγελική","Καλογερόπουλος","00000000675","Σωτήρης","Δημητρίου","26","2023"
"00000000706","Ζωή","Ιωάννου","00000000712","Σταυρούλα","Σταύρου","26","2023"
"00000000698","Αγγελική","Βλάχος","00000000790","Θεοδώρα","Καλογερόπουλος","26","2022"
"00000000673","Λευτέρης","Παπαγεωργίου","00000000790","Θεοδώρα","Καλογερόπουλος","26","2022"
"00000000727","Δήμητρα","Παπαδάκης","00000000790","Θεοδώρα","Καλογερόπουλος","26","2022"
"00000000638","Ειρήνη","Παπαδόπουλος","00000000785","Αγγελική","Νικολάου","26","2022"
"00000000621","Νικολέτα","Σταματίου","00000000727","Δήμητρα","Παπαδάκης","26","2022"
"00000000637","Παναγιώτα","Παπαντωνίου","00000000727","Δήμητρα","Παπαδάκης","26","2022"
"00000000723","Ηλίας","Βασιλείου","00000000727","Δήμητρα","Παπαδάκης","26","2022"
"00000000640","Ευαγγελία","Τσακίρης","00000000769","Αναστασία","Καλογερόπουλος","26","2022"
"00000000637","Παναγιώτα","Παπαντωνίου","00000000673","Λευτέρης","Παπαγεωργίου","26","2022"
"00000000637","Παναγιώτα","Παπαντωνίου","00000000698","Αγγελική","Βλάχος","26","2022"
"00000000621","Νικολέτα","Σταματίου","00000000698","Αγγελική","Βλάχος","26","2022"
"00000000621","Νικολέτα","Σταματίου","00000000673","Λευτέρης","Παπαγεωργίου","26","2022"
"00000000648","Στέφανος","Παπαγεωργίου","00000000666","Τάσος","Σταύρου","24","2023"
"00000000603","Ελένη","Παπαδάκης","00000000643","Αναστασία","Σταύρου","24","2023"
"00000000654","Αθηνά","Αλεξίου","00000000712","Σταυρούλα","Σταύρου","24","2022"
"00000000651","Ζωή","Ιωάννου","00000000693","Σοφία","Παπαδάκης","24","2023"
"00000000643","Αναστασία","Σταύρου","00000000695","Ελένη","Χριστοδούλου","24","2023"
"00000000643","Αναστασία","Σταύρου","00000000666","Τάσος","Σταύρου","24","2023"
"00000000610","Τάσος","Κοντός","00000000648","Στέφανος","Παπαγεωργίου","24","2023"
"00000000693","Σοφία","Παπαδάκης","00000000740","Κώστας","Αντωνίου","24","2023"
"00000000610","Τάσος","Κοντός","00000000643","Αναστασία","Σταύρου","24","2023"
"00000000603","Ελένη","Παπαδάκης","00000000648","Στέφανος","Παπαγεωργίου","24","2023"
"00000000651","Ζωή","Ιωάννου","00000000740","Κώστας","Αντωνίου","24","2023"
"00000000648","Στέφανος","Παπαγεωργίου","00000000695","Ελένη","Χριστοδούλου","24","2023"
"00000000654","Αθηνά","Αλεξίου","00000000735","Θανάσης","Παπαδάκης","24","2022"
"00000000618","Σταυρούλα","Σταματίου","00000000742","Αλέξανδρος","Παπαδάκης","23","2022"
"00000000666","Τάσος","Σταύρου","00000000706","Ζωή","Ιωάννου","22","2022"
"00000000652","Δήμητρα","Κωνσταντίνου","00000000706","Ζωή","Ιωάννου","22","2022"
"00000000647","Λευτέρης","Μακρής","00000000706","Ζωή","Ιωάννου","22","2022"
"00000000643","Αναστασία","Σταύρου","00000000736","Πέτρος","Βασιλείου","22","2024"
"00000000643","Αναστασία","Σταύρου","00000000676","Αλέξανδρος","Ιωάννου","22","2024"
"00000000754","Αθηνά","Αντωνίου","00000000783","Παναγιώτα","Δημητρίου","22","2024"
"00000000689","Αλέξανδρος","Ιωάννου","00000000754","Αθηνά","Αντωνίου","22","2024"
"00000000621","Νικολέτα","Σταματίου","00000000754","Αθηνά","Αντωνίου","22","2024"
"00000000618","Σταυρούλα","Σταματίου","00000000643","Αναστασία","Σταύρου","22","2024"
"00000000620","Σωτήρης","Αλεξίου","00000000643","Αναστασία","Σταύρου","22","2024"
"00000000680","Γιώργης","Παπαδάκης","00000000683","Νικολέτα","Σπηλιώτης","22","2022"
"00000000675","Σωτήρης","Δημητρίου","00000000683","Νικολέτα","Σπηλιώτης","22","2022"
"00000000621","Νικολέτα","Σταματίου","00000000783","Παναγιώτα","Δημητρίου","22","2024"
"00000000643","Αναστασία","Σταύρου","00000000743","Θανάσης","Τσακίρης","22","2024"
"00000000675","Σωτήρης","Δημητρίου","00000000680","Γιώργης","Παπαδάκης","22","2022"
"00000000706","Ζωή","Ιωάννου","00000000771","Νίκος","Βλάχος","22","2022"
"00000000689","Αλέξανδρος","Ιωάννου","00000000783","Παναγιώτα","Δημητρίου","22","2024"
"00000000621","Νικολέτα","Σταματίου","00000000689","Αλέξανδρος","Ιωάννου","22","2024"
"00000000674","Κίμωνας","Παπαντωνίου","00000000683","Νικολέτα","Σπηλιώτης","21","2023"
"00000000609","Φωτεινή","Σταύρου","00000000736","Πέτρος","Βασιλείου","20","2023"
"00000000644","Λευτέρης","Σταματίου","00000000791","Θεοδώρα","Χριστοδούλου","20","2023"
"00000000609","Φωτεινή","Σταύρου","00000000716","Παναγιώτα","Ιωάννου","20","2023"
"00000000679","Στέφανος","Σταύρου","00000000716","Παναγιώτα","Ιωάννου","20","2023"
"00000000679","Στέφανος","Σταύρου","00000000736","Πέτρος","Βασιλείου","20","2023"
"00000000716","Παναγιώτα","Ιωάννου","00000000756","Χρήστος","Αλεξίου","20","2023"
"00000000736","Πέτρος","Βασιλείου","00000000756","Χρήστος","Αλεξίου","20","2023"
"00000000619","Αλέξανδρος","Τσακίρης","00000000789","Τάσος","Γεωργίου","19","2022"
"00000000614","Αναστασία","Καλογερόπουλος","00000000636","Ελένη","Γεωργίου","19","2023"
"00000000620","Σωτήρης","Αλεξίου","00000000789","Τάσος","Γεωργίου","19","2022"
"00000000619","Αλέξανδρος","Τσακίρης","00000000620","Σωτήρης","Αλεξίου","19","2022"
"00000000651","Ζωή","Ιωάννου","00000000789","Τάσος","Γεωργίου","19","2022"
"00000000614","Αναστασία","Καλογερόπουλος","00000000680","Γιώργης","Παπαδάκης","19","2023"
"00000000636","Ελένη","Γεωργίου","00000000680","Γιώργης","Παπαδάκης","19","2023"
"00000000619","Αλέξανδρος","Τσακίρης","00000000776","Αλέξανδρος","Μαυρίδης","19","2022"
"00000000667","Αλέξανδρος","Γεωργίου","00000000680","Γιώργης","Παπαδάκης","19","2023"
"00000000614","Αναστασία","Καλογερόπουλος","00000000667","Αλέξανδρος","Γεωργίου","19","2023"
"00000000636","Ελένη","Γεωργίου","00000000667","Αλέξανδρος","Γεωργίου","19","2023"
"00000000636","Ελένη","Γεωργίου","00000000759","Ηλίας","Νικολάου","19","2023"
"00000000651","Ζωή","Ιωάννου","00000000776","Αλέξανδρος","Μαυρίδης","19","2022"
"00000000680","Γιώργης","Παπαδάκης","00000000759","Ηλίας","Νικολάου","19","2023"
"00000000619","Αλέξανδρος","Τσακίρης","00000000651","Ζωή","Ιωάννου","19","2022"
"00000000667","Αλέξανδρος","Γεωργίου","00000000759","Ηλίας","Νικολάου","19","2023"
"00000000620","Σωτήρης","Αλεξίου","00000000651","Ζωή","Ιωάννου","19","2022"
"00000000614","Αναστασία","Καλογερόπουλος","00000000759","Ηλίας","Νικολάου","19","2023"
"00000000776","Αλέξανδρος","Μαυρίδης","00000000789","Τάσος","Γεωργίου","19","2022"
"00000000620","Σωτήρης","Αλεξίου","00000000776","Αλέξανδρος","Μαυρίδης","19","2022"
"00000000737","Ευαγγελία","Τσακίρης","00000000797","Κίμωνας","Λαζαρίδης","18","2023"
"00000000611","Αγγελική","Καλογερόπουλος","00000000626","Ελένη","Μακρής","18","2022"
"00000000611","Αγγελική","Καλογερόπουλος","00000000663","Νικολέτα","Παπαγεωργίου","18","2022"
"00000000626","Ελένη","Μακρής","00000000784","Σπύρος","Ιωάννου","18","2022"
"00000000626","Ελένη","Μακρής","00000000663","Νικολέτα","Παπαγεωργίου","18","2022"
"00000000611","Αγγελική","Καλογερόπουλος","00000000784","Σπύρος","Ιωάννου","18","2022"
"00000000737","Ευαγγελία","Τσακίρης","00000000782","Στέφανος","Παπαγεωργίου","18","2023"
"00000000663","Νικολέτα","Παπαγεωργίου","00000000784","Σπύρος","Ιωάννου","18","2022"
"00000000782","Στέφανος","Παπαγεωργίου","00000000797","Κίμωνας","Λαζαρίδης","18","2023"
"00000000621","Νικολέτα","Σταματίου","00000000705","Γιώργης","Σπηλιώτης","17","2023"
