"ssn","name","surname","type"
"00000000417","Ιωάννα","Καραγιάννης","ADMINISTRATIVE"
"00000000430","Νικολέτα","Καραγιάννης","ADMINISTRATIVE"
"00000000442","Λευτέρης","Καραγιάννης","ADMINISTRATIVE"
"00000000449","Βασιλική","Καραγιάννης","ADMINISTRATIVE"
"00000000401","Κατερίνα","Κοντός","ADMINISTRATIVE"
"00000000427","Παναγιώτα","Κοντός","ADMINISTRATIVE"
"00000000429","Κώστας","Κοντός","ADMINISTRATIVE"
"00000000444","Γιάννης","Κοντός","ADMINISTRATIVE"
"00000000450","Γεωργία","Κοντός","ADMINISTRATIVE"
"00000000403","Σοφία","Λαζαρίδης","ADMINISTRATIVE"
"00000000436","Γεωργία","Λαζαρίδης","ADMINISTRATIVE"
"00000000434","Σωτήρης","Μακρής","ADMINISTRATIVE"
"00000000446","Αλέξανδρος","Μαυρίδης","ADMINISTRATIVE"
"00000000410","Πέτρος","Νικολάου","ADMINISTRATIVE"
"00000000432","Ελένη","Νικολάου","ADMINISTRATIVE"
"00000000433","Πέτρος","Νικολάου","ADMINISTRATIVE"
"00000000418","Παναγιώτης","Παπαγεωργίου","ADMINISTRATIVE"
"00000000407","Λευτέρης","Παπαδάκης","ADMINISTRATIVE"
"00000000422","Σοφία","Παπαδάκης","ADMINISTRATIVE"
"00000000424","Γεωργία","Παπαδάκης","ADMINISTRATIVE"
"00000000447","Κώστας","Παπαδάκης","ADMINISTRATIVE"
"00000000406","Αντώνης","Παπαντωνίου","ADMINISTRATIVE"
"00000000409","Θεοδώρα","Παπαντωνίου","ADMINISTRATIVE"
"00000000416","Δήμητρα","Παπαντωνίου","ADMINISTRATIVE"
"00000000420","Θανάσης","Σπηλιώτης","ADMINISTRATIVE"
"00000000425","Ευαγγελία","Σπηλιώτης","ADMINISTRATIVE"
"00000000437","Αναστασία","Σταματίου","ADMINISTRATIVE"
"00000000408","Χριστίνα","Τσακίρης","ADMINISTRATIVE"
"00000000438","Κίμωνας","Τσακίρης","ADMINISTRATIVE"
"00000000440","Θεοδώρα","Τσακίρης","ADMINISTRATIVE"
"00000000426","Αντώνης","Χριστοδούλου","ADMINISTRATIVE"
"00000000445","Κίμωνας","Χριστοδούλου","ADMINISTRATIVE"
